Variable,Departamentos,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Denuncias,Nacional,1513,1104,1267,1553,1520,1818,2066,2288,2569,2781,2871,2728,2458
Denuncias,Managua,2799,1623,1921,2566,2407,2928,3401,3722,4402,4868,5167,4801,3964
Denuncias,Estelí,2526,2349,1971,2070,1817,1984,2044,2220,2782,2896,2994,2127,2197
Denuncias,Carazo,2185,1858,1868,2288,2223,2613,2647,3360,3740,3768,4331,4423,3937
Denuncias,Rivas,1651,1588,1384,1486,1642,1933,2235,3270,3232,3475,3357,2576,2448
Denuncias,Granada,1569,1526,1841,2419,1918,2789,3453,3776,3863,3918,4024,3896,3201
Denuncias,Masaya,1503,1068,1435,1662,1301,1221,1101,1106,1495,1967,1720,1771,2083
Denuncias,RACCN,1424,1529,1745,2001,2250,2697,2866,3070,3032,3185,3769,4170,3563
Denuncias,Chontales,1330,1090,1278,1274,1294,1302,1377,1579,1782,2041,1932,1742,1796
Denuncias,León,1155,510,795,1113,1264,1467,1632,1722,1993,2074,1813,1990,1858
Denuncias,Matagalpa,1087,960,1154,1370,1268,1504,1672,1839,2000,2089,2171,2220,2101
Denuncias,Madriz,1049,604,540,673,835,1027,1072,1269,1401,1381,1524,1450,1696
Denuncias,Zelaya Central,892,808,1050,1364,1672,1814,2085,2345,2597,2768,2692,1689,1223
Denuncias,RACCS,875,872,761,948,1404,1881,2162,2283,2397,2476,2546,2484,2538
Denuncias,Nueva Segovia,821,742,556,727,611,795,953,1016,1058,1280,1005,975,1007
Denuncias,Chinandega,699,650,811,877,917,1180,1252,1482,1520,1712,2094,2040,2242
Denuncias,Boaco,679,605,693,891,1046,1069,1363,1412,1570,1347,1170,1272,1062
Denuncias,Triángulo Minero,635,518,686,550,676,796,1151,925,1106,1250,1067,1246,989
Denuncias,Río San Juan,487,466,613,786,1022,1193,2253,228,204,218,180,179,151
Denuncias,Jinotega,396,397,536,513,583,798,819,995,867,843,1006,1109,1051
Homicidios,Nacional,8,11,7,7,8,8,9,11,12,13,13,13,13
Homicidios,RACCS,31,19,29,28,33,33,36,38,43,40,30,32,42
Homicidios,RACCN,21,13,18,15,20,13,23,22,19,18,12,7,10
Homicidios,Jinotega,18,16,13,11,13,14,16,20,21,20,19,17,16
Homicidios,Zelaya Central,14,9,4,11,8,12,14,16,19,26,21,27,29
Homicidios,Triángulo Minero,14,15,19,18,22,18,30,39,35,32,31,28,29
Homicidios,Río San Juan,12,14,10,8,13,10,16,2,2,1,2,1,1
Homicidios,Matagalpa,8,13,8,13,9,12,10,12,14,15,16,16,14
Homicidios,Nueva Segovia,7,9,7,5,6,8,5,8,9,11,6,6,8
Homicidios,Rivas,7,5,2,1,5,8,8,6,6,7,8,10,9
Homicidios,Managua,6,12,4,5,7,7,9,10,14,17,16,16,13
Homicidios,Estelí,6,11,2,3,5,6,5,8,6,5,7,8,6
Homicidios,Chinandega,4,6,4,4,5,5,6,6,6,7,7,8,7
Homicidios,Boaco,4,6,3,3,2,5,4,6,9,5,8,4,12
Homicidios,Chontales,4,9,3,6,9,8,8,9,7,14,13,15,23
Homicidios,Granada,3,2,3,5,7,5,6,4,6,3,11,10,6
Homicidios,Masaya,3,9,3,2,3,3,2,3,5,6,3,7,5
Homicidios,Carazo,3,16,4,4,5,3,5,9,2,5,5,6,5
Homicidios,León,2,5,2,3,4,4,4,4,4,4,7,6,5
Homicidios,Madriz,2,4,2,2,5,3,3,3,3,4,8,2,6
Robos,Nacional,177,139,148,178,162,192,248,285,390,489,565,591,491
Robos,Managua,401,244,264,340,289,337,472,525,827,1079,1259,1312,1024
Robos,Carazo,262,179,95,155,168,276,344,473,611,557,803,919,807
Robos,Rivas,188,169,180,127,121,186,235,250,247,327,425,408,359
Robos,Estelí,159,195,175,206,156,146,168,204,325,350,425,346,428
Robos,Chontales,155,141,147,129,154,143,145,158,189,296,314,395,279
Robos,León,137,88,112,156,116,125,147,167,192,274,337,410,347
Robos,RACCN,124,230,299,334,376,387,502,522,609,661,754,796,655
Robos,RACCS,113,125,118,144,262,337,361,466,452,579,574,657,507
Robos,Masaya,112,61,88,105,122,141,145,153,223,293,191,225,288
Robos,Chinandega,106,87,105,110,97,139,151,213,245,306,408,421,408
Robos,Granada,101,134,199,284,244,335,407,471,588,609,679,730,622
Robos,Zelaya Central,95,109,112,123,140,173,213,235,291,350,350,291,159
Robos,Matagalpa,84,117,114,132,109,118,154,164,195,244,303,320,284
Robos,Nueva Segovia,82,96,68,68,48,60,92,109,141,225,229,185,180
Robos,Triángulo Minero,76,75,83,71,71,79,96,103,146,140,136,104,95
Robos,Boaco,71,69,61,91,93,79,127,137,173,191,194,214,121
Robos,Madriz,54,50,53,51,32,28,35,37,80,115,145,175,172
Robos,Jinotega,52,47,56,45,40,63,82,132,125,132,153,152,135
Robos,Río San Juan,48,58,52,55,84,91,174,15,15,19,16,17,14
Hurtos,Nacional,59,45,54,63,69,81,102,120,161,180,222,351,368
Hurtos,RACCN,178,182,215,267,305,370,394,500,547,560,288,579,681
Hurtos,Carazo,150,162,183,247,246,217,225,401,591,536,470,589,584
Hurtos,Managua,103,51,66,81,91,108,158,173,259,299,444,585,555
Hurtos,Estelí,96,108,93,87,62,71,102,117,173,151,218,286,334
Hurtos,Rivas,77,101,102,53,102,129,131,167,163,234,291,489,499
Hurtos,León,60,25,45,45,54,52,56,68,92,101,106,316,305
Hurtos,Triángulo Minero,56,33,48,35,32,31,43,44,55,68,78,119,111
Hurtos,Chontales,55,52,44,50,51,76,51,62,84,119,161,200,248
Hurtos,Chinandega,44,29,53,56,55,72,99,84,88,124,185,326,441
Hurtos,Zelaya Central,35,45,47,65,72,96,117,125,162,137,195,244,179
Hurtos,Boaco,29,30,34,46,44,45,69,74,95,72,74,167,197
Hurtos,Masaya,26,17,25,26,30,61,30,42,54,97,67,149,250
Hurtos,Madriz,25,12,7,7,16,15,15,25,39,51,56,168,341
Hurtos,Granada,23,30,44,58,61,76,103,157,185,193,201,803,667
Hurtos,Nueva Segovia,20,24,25,21,16,31,46,43,46,82,52,69,100
Hurtos,Matagalpa,18,26,27,44,45,45,66,63,80,87,112,216,241
Hurtos,Río San Juan,12,14,26,33,39,43,81,8,8,8,11,17,20
Hurtos,Jinotega,11,12,16,16,17,22,27,42,50,45,53,98,114
Hurtos,RACCS,11,20,17,31,60,82,124,126,199,259,370,398,444
Delitos sexuales,Nacional,28,25,35,41,45,57,63,60,61,62,72,84,86
Delitos sexuales,RACCN,41,54,69,76,68,99,127,127,111,110,130,138,110
Delitos sexuales,Carazo,38,39,26,51,45,63,63,71,98,76,100,105,132
Delitos sexuales,Granada,37,43,53,49,51,69,80,71,51,64,51,99,100
Delitos sexuales,Managua,37,21,38,49,51,62,71,58,60,63,79,88,82
Delitos sexuales,Masaya,33,25,34,37,37,46,41,43,50,53,56,68,77
Delitos sexuales,Boaco,29,26,33,32,53,48,65,63,39,50,49,87,76
Delitos sexuales,RACCS,28,35,50,69,92,116,140,116,124,113,125,140,151
Delitos sexuales,Chontales,28,26,24,29,51,45,57,59,50,58,73,74,103
Delitos sexuales,Triángulo Minero,28,24,47,56,50,61,81,79,67,83,101,102,94
Delitos sexuales,Rivas,28,34,33,30,31,73,57,78,72,83,72,59,69
Delitos sexuales,León,25,20,29,31,38,53,58,49,55,50,43,59,62
Delitos sexuales,Chinandega,23,22,33,41,35,56,62,63,52,58,65,74,86
Delitos sexuales,Zelaya Central,20,22,33,50,64,53,64,83,99,128,125,96,85
Delitos sexuales,Nueva Segovia,20,25,24,28,33,33,41,38,44,47,41,59,57
Delitos sexuales,Jinotega,18,18,21,23,26,42,39,47,40,32,38,70,82
Delitos sexuales,Matagalpa,18,20,30,28,30,51,48,42,53,55,75,95,83
Delitos sexuales,Madriz,15,26,28,32,42,39,43,58,44,43,61,81,113
Delitos sexuales,Río San Juan,11,30,43,64,114,92,109,9,10,9,9,12,11
Delitos sexuales,Estelí,10,19,28,27,30,30,28,42,50,39,69,47,66
Lesiones,Nacional,53,51,64,77,87,118,131,151,171,196,233,323,331
Lesiones,Boaco,105,103,112,98,98,92,112,116,127,167,149,266,233
Lesiones,RACCN,89,84,109,140,189,169,196,226,337,412,482,590,804
Lesiones,Rivas,81,86,66,51,59,36,96,149,156,190,222,309,339
Lesiones,Managua,67,50,63,86,111,159,175,185,227,307,425,612,586
Lesiones,Zelaya Central,67,69,82,97,135,119,148,93,97,103,178,230,185
Lesiones,Chontales,66,83,69,65,74,79,105,124,114,130,140,147,207
Lesiones,Nueva Segovia,63,68,62,63,56,75,81,81,96,114,109,153,153
Lesiones,Carazo,63,77,79,78,93,183,198,199,166,182,195,274,273
Lesiones,León,58,52,77,101,98,138,124,165,131,134,144,170,153
Lesiones,Estelí,57,68,76,77,78,119,129,151,160,179,248,288,318
Lesiones,Granada,56,54,97,171,176,249,208,237,255,246,198,454,328
Lesiones,Triángulo Minero,51,43,65,61,62,60,100,116,121,113,100,103,79
Lesiones,Madriz,49,55,57,52,60,59,75,85,118,112,123,140,208
Lesiones,RACCS,34,60,78,129,144,168,200,303,327,367,293,327,362
Lesiones,Matagalpa,33,36,54,56,60,88,105,133,163,137,180,244,294
Lesiones,Masaya,30,22,59,68,74,136,139,123,175,189,192,279,357
Lesiones,Chinandega,30,27,40,56,63,78,93,131,132,134,145,175,190
Lesiones,Río San Juan,25,31,43,68,54,67,102,16,16,25,16,19,18
Lesiones,Jinotega,23,21,28,28,26,49,50,73,92,79,77,108,118
